,city,state,pop,latitude,longitude,count,count_pop
598,Pismo Beach,CA,8162,35.14275,-120.64128,2,0.0002450379808870375
599,Fitchburg,WI,27996,42.96083,-89.46984,3,0.00010715816545220746
600,Cornwall,NY,2966,41.44482,-74.0157,1,0.00033715441672285906
601,Bedford,OH,12747,41.39311,-81.53651,2,0.00015689966266572527
602,Lockhart,TX,13446,29.88494,-97.67,1,7.437156031533541e-05
603,Lake Arthur,LA,2742,30.08076,-92.67153,1,0.00036469730123997083
604,Bristol,RI,22795,41.67705,-71.26616,1,4.386926957666155e-05
605,Phoenixville,PA,16658,40.13038,-75.51491,2,0.00012006243246488174
606,Rockport,TX,10490,28.02077,-97.05601,2,0.00019065776930409913
607,Canton,OH,71885,40.79895,-81.37845,2,2.7822216039507548e-05
608,Haiku-Pauwela,HI,8118,20.92187,-156.30508,10,0.001231830500123183
609,Manhattan Beach,CA,35818,33.88474,-118.41091,3,8.375677033893574e-05
610,Bethesda,MD,60858,38.98067,-77.10026,4,6.572677380130797e-05
611,Lufkin,TX,36333,31.33824,-94.7291,2,5.504637657226213e-05
612,Lafayette,LA,127657,30.22409,-92.01984,3,2.3500473926224178e-05
613,Kenosha,WI,99858,42.58474,-87.82119,1,1.0014220192673596e-05
614,Daly City,CA,106562,37.70577,-122.46192,1,9.38420825434958e-06
615,Panama City Beach,FL,12624,30.17659,-85.80549,18,0.0014258555133079848
616,Carmel,IN,88713,39.97837,-86.11804,1,1.1272305073664513e-05
617,Paris,KY,9870,38.2098,-84.25299,1,0.00010131712259371833
618,Northridge,CA,68469,34.22834,-118.53675,1,1.460514977581095e-05
619,Alameda,CA,78630,37.76521,-122.24164,14,0.00017804909067785832
620,Puyallup,WA,39659,47.18538,-122.2929,2,5.042991502559318e-05
621,Bristol,CT,60452,41.67176,-72.94927,10,0.0001654204989082247
622,Nassau,NY,1124,42.51591,-73.61012,1,0.0008896797153024911
623,Woodbridge,VA,4055,38.65817,-77.2497,1,0.0002466091245376079
624,Homestead,FL,66498,25.46872,-80.47756,2,3.0076092514060572e-05
625,Durango,CO,18006,37.27528,-107.88007,3,0.00016661112962345885
626,Mohnton,PA,3036,40.28593,-75.98438,1,0.00032938076416337287
627,Mount Clemens,MI,16400,42.59726,-82.87798,1,6.097560975609756e-05
628,Auburn,AL,62059,32.60986,-85.48078,1,1.611369825488648e-05
629,Allentown,PA,120207,40.60843,-75.49018,2,1.6637966175014767e-05
630,Pioneer,CA,1094,38.43186,-120.57187,1,0.0009140767824497258
631,Athens,OH,25044,39.32924,-82.10126,2,7.985944737262418e-05
632,Oak Forest,IL,28074,41.60281,-87.74394,5,0.00017810073377502316
633,Herndon,VA,24568,38.96955,-77.3861,1,4.070335395636601e-05
634,Framingham,MA,68318,42.27926,-71.41617,1,1.463743083813929e-05
635,Pompano Beach,FL,107762,26.23786,-80.12477,2,1.855941797665225e-05
636,Austin,MN,24563,43.66663,-92.97464,1,4.071163945772096e-05
637,Carbondale,CO,6670,39.40221,-107.21116,1,0.00014992503748125936
638,Radnor,PA,30878,40.04622,-75.35991,1,3.238551719670963e-05
639,Columbia,SC,133803,34.00071,-81.03481,8,5.978939186714797e-05
640,Altadena,CA,42777,34.18973,-118.13118,1,2.3377048413867265e-05
641,Moorhead,MN,42005,46.87386,-96.76951,3,7.142006903940007e-05
642,Kalispell,MT,22052,48.19579,-114.31291,2,9.069472156720479e-05
643,Chandler,AZ,260828,33.30616,-111.84125,5,1.9169721042219393e-05
644,Bexley,OH,13654,39.96895,-82.93768,1,7.323861139592794e-05
645,Columbus,MS,23168,33.49567,-88.42726,3,0.0001294889502762431
646,Culver City,CA,39717,34.02112,-118.39647,2,5.0356270614598286e-05
647,Los Lunas,NM,15336,34.80617,-106.73336,1,6.520605112154408e-05
648,Winston-Salem,NC,241218,36.09986,-80.24422,3,1.2436882819690073e-05
649,Mansfield,OH,46830,40.75839,-82.51545,2,4.2707666026051675e-05
650,Wilmington,NC,115933,34.22573,-77.94471,78,0.0006728023944864706
651,Broomfield,CO,65065,39.92054,-105.08665,2,3.0738492276953816e-05
652,Centerville,UT,16877,40.918,-111.87216,1,5.9252236771938144e-05
653,Wichita Falls,TX,104710,33.91371,-98.49339,1,9.550186228631459e-06
654,Mount Holly,NJ,10804,39.99289,-74.78766,4,0.00037023324694557573
655,Sachse,TX,24554,32.97623,-96.59527,2,8.145312372729494e-05
656,Medford,OR,79805,42.32652,-122.87559,3,3.7591629597143036e-05
657,Irving,TX,236607,32.81402,-96.94889,2,8.452835292277913e-06
658,Notre Dame,IN,5973,41.70019,-86.23793,1,0.00016742005692281934
659,Great Falls,MT,59638,47.50024,-111.30081,1,1.6767832589959423e-05
660,Kapa‘a,HI,10699,22.07521,-159.31895,1,9.346667912889055e-05
661,Bakersfield,CA,373640,35.37329,-119.01871,2,5.352745958676801e-06
662,Prattville,AL,35420,32.46402,-86.4597,1,2.8232636928289102e-05
663,Louisville,OH,9126,40.83728,-81.25955,1,0.00010957703265395574
664,Plymouth,MA,7494,41.95844,-70.66726,2,0.0002668801708033093
665,Edgewater,MD,9023,38.95706,-76.54996,1,0.0001108278842956888
666,Oakdale,CA,22259,37.76659,-120.84715,1,4.4925648052473156e-05
667,El Cajon,CA,103679,32.79477,-116.96253,1,9.645154756508068e-06
668,Deltona,FL,88474,28.90054,-81.26367,1,1.130275561181816e-05
669,Florence,AZ,31110,33.03145,-111.38734,4,0.0001285760205721633
670,Sonoma,CA,11037,38.29186,-122.45804,8,0.0007248346470961312
671,Ozone Park,NY,53985,40.67677,-73.84375,3,5.557099194220617e-05
672,Arcadia,CA,58408,34.13973,-118.03534,2,3.424188467333242e-05
673,Fallbrook,CA,30534,33.37642,-117.25115,2,6.550075325866247e-05
674,Long Beach,NY,33550,40.58844,-73.65791,1,2.9806259314456036e-05
675,Allen,TX,98143,33.10317,-96.67055,3,3.056764109513669e-05
676,Brownsville,PA,2292,40.02369,-79.88394,1,0.0004363001745200698
677,The Hammocks,FL,51003,25.67149,-80.4445,3,5.88200694076819e-05
678,Claremont,CA,36283,34.09668,-117.71978,2,5.5122233552903564e-05
679,Glen Burnie,MD,67639,39.16261,-76.62469,3,4.4353109892221943e-05
680,Mount Shasta,CA,3296,41.31024,-122.31225,1,0.00030339805825242716
681,Ames,IA,65060,42.03471,-93.61994,2,3.074085459575776e-05
682,Warren,MI,134056,42.49044,-83.01304,2,1.4919138270573492e-05
683,Trinidad,CO,8153,37.16946,-104.50054,3,0.000367962713111738
684,La Grange,NC,2804,35.30683,-77.78803,1,0.0003566333808844508
685,University Park,IL,7070,41.44298,-87.6836,1,0.00014144271570014144
686,Bartlesville,OK,36595,36.74731,-95.98082,1,2.7326137450471376e-05
687,Rock Island,IL,38620,41.50948,-90.57875,1,2.589331952356292e-05
688,Newton,MA,88817,42.33704,-71.20922,4,4.503642320726888e-05
689,Grand Blanc,MI,7993,42.92753,-83.62995,1,0.00012510947078693858
690,Loomis,CA,6733,38.82129,-121.193,4,0.0005940888162780336
691,Butler,PA,13289,40.86118,-79.89533,2,0.00015050041387613817
692,Oxford,MI,3534,42.82475,-83.26466,2,0.0005659309564233164
693,Ontario,CA,171214,34.06334,-117.65089,2,1.1681287745161027e-05
694,Hoover,AL,84848,33.40539,-86.81138,1,1.1785781633037903e-05
695,Apex,NC,45585,35.73265,-78.85029,2,4.387408138642097e-05
696,Piedmont,OK,7118,35.642,-97.74643,1,0.00014048890137679124
697,Hampton,VA,136454,37.02987,-76.34522,4,2.931390798364284e-05
698,Palm Beach,FL,8612,26.70562,-80.03643,4,0.00046446818392940084
699,La Jolla,CA,42808,32.84727,-117.2742,3,7.008035881143711e-05
700,San Bernardino,CA,216108,34.10834,-117.28977,2,9.254631943287616e-06
701,Washingtonville,NY,5788,41.42787,-74.16598,1,0.00017277125086385625
702,Daytona Beach,FL,64736,29.21081,-81.02283,1,1.5447355412753335e-05
703,Port Jefferson,NY,7842,40.94649,-73.06927,3,0.00038255547054322876
704,Gulfport,FL,12322,27.74836,-82.70343,1,8.115565654926148e-05
705,Fishers,IN,76794,39.95559,-86.01387,2,2.6043701330833138e-05
706,Big Bear City,CA,12304,34.26112,-116.84503,1,8.127438231469441e-05
707,Syracuse,UT,27395,41.08939,-112.06467,1,3.650301149844862e-05
708,Sandy Springs,GA,105330,33.92427,-84.37854,4,3.797588531282635e-05
709,Fort Collins,CO,161175,40.58526,-105.08442,6,3.722661703117729e-05
710,Bryan,TX,82118,30.67436,-96.36996,1,1.217759809055262e-05
711,Humble,TX,15665,29.99883,-95.26216,1,6.383657835939994e-05
712,Appleton,WI,74139,44.26193,-88.41538,2,2.6976355224645597e-05
713,Valdosta,GA,55724,30.83334,-83.28032,1,1.7945588974230134e-05
714,Cape Coral,FL,175229,26.56285,-81.94953,2,1.1413635870774814e-05
